MtoS.X,MtoS.Y,MtoS.Z,MtoS.rX,MtoS.rY,MtoS.rZ,A_x,StoFRC.X,StoFRC.Y,StoFRC.Z,StoFRC.rX,StoFRC.rY,StoFRC.rZ
0.000,0.000,-0.010,22.412800,-0.004126,0.001664,-0.001501,78.257,-56.788,-41.015,0.089477,-19.312482,89.987953,
0.000,0.000,-0.012,18.320128,0.000740,0.004666,-0.000050,78.255,-56.788,-41.015,0.093770,-15.221814,89.989616,
0.000,0.002,-0.010,24.567176,0.000425,0.004172,-0.000461,78.257,-56.789,-41.014,0.092454,-21.468505,89.993203,
0.000,0.000,-0.010,15.565362,0.000123,0.005269,0.000009,78.257,-56.790,-41.014,0.094457,-12.463308,89.996338,
0.000,0.002,-0.010,24.567176,0.000425,0.004172,-0.000461,78.257,-56.789,-41.014,0.092454,-21.468505,89.993203,
0.000,0.002,-0.010,24.567176,0.000425,0.004172,-0.000461,82.132,-56.789,-41.014,0.092454,-21.468505,89.993203,
0.000,0.002,-0.010,24.567176,0.000425,0.004172,-0.000461,82.132,-56.789,-41.014,0.092454,-21.468505,89.993203,
0.000,0.002,-0.010,24.567176,0.000425,0.004172,-0.000461,82.132,-56.789,-41.014,0.092454,-21.468505,89.993203,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,82.132,-56.788,-41.016,0.096283,3.102724,89.989714,
0.000,0.002,-0.010,24.567176,0.000425,0.004172,-0.000461,82.132,-56.789,-41.014,0.092454,-21.468505,89.993203,
0.000,0.002,-0.010,24.567176,0.000425,0.004172,-0.000461,82.132,-56.789,-41.014,0.092454,-21.468505,89.993203,
0.000,0.002,-0.010,24.567176,0.000425,0.004172,-0.000461,82.132,-56.789,-41.014,0.092454,-21.468505,89.993203,
0.000,0.002,-0.010,24.567176,0.000425,0.004172,-0.000461,82.132,-56.789,-41.014,0.092454,-21.468505,89.993203,
0.000,-0.038,0.006,-0.006338,-0.000463,0.002306,0.014327,7.600,-0.292,0.002,-0.006337,-0.000587,0.017353,
0.000,-0.038,0.006,-0.006338,-0.000463,0.002306,0.014327,-0.150,-0.292,0.002,-0.006337,-0.000587,0.017353,
0.000,-0.060,-0.024,0.002331,-0.001203,0.004287,-0.002813,-0.123,-0.235,0.018,0.002331,-0.003173,0.015522,
0.000,-0.060,-0.024,0.002331,-0.001203,0.004287,-0.002813,-0.123,-0.235,0.018,0.002331,-0.003173,0.015522,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,0.000000,0.000000,0.000000,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,0.000000,0.000000,0.000000,
0.000,-0.060,-0.024,0.002331,-0.001203,0.004287,-0.002813,-0.123,-0.235,0.018,0.002331,-0.003173,0.015522,
0.000,-34.155,-35.353,-27.015156,-22.038534,-78.566794,-7.386279,233.708,-117.071,128.477,10.284939,-25.512453,-1.877713,
0.000,0.054,-0.777,-0.048335,-0.099185,0.000092,-0.403652,0.235,0.224,-0.323,-0.044874,-0.039536,-0.067285,
0.000,-0.060,-0.024,0.002331,-0.001203,0.004287,-0.002813,-0.123,-0.235,0.018,0.002331,-0.003173,0.015522,
0.000,-0.060,-0.024,0.002331,-0.001203,0.004287,-0.002813,-0.123,-0.235,0.018,0.002331,-0.003173,0.015522,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,0.000000,0.000000,0.000000,
0.000,-0.060,-0.024,0.002331,-0.001203,0.004287,-0.002813,-0.123,-0.235,0.018,0.002331,-0.003173,0.015522,
